order_id,customer_id,service_type,pickup_zone,dropoff_zone,order_value,driver_id,delivery_status,route_distance_km,manual_route_override_count,customer_rating_post_delivery,age,zone_clean,customer_type,loyalty_score,has_complaint
O00001,C0292,Passenger,Airport,South,126.65,D047,OnTime,26.65,2.0,4.29,24,South,Consumer,73.2,0
O00002,C0459,Passenger,North,AIRPORT,109.3,,,,,,20,West,Consumer,56.1,0
O00003,C0161,Passenger,West,AIRPORT,33.5,D041,Delayed,13.04,2.0,3.7,42,North,Consumer,87.1,1
O00004,C0520,Parcel,RiverSide,North,10.04,D138,OnTime,10.34,1.0,5.0,50,North,Consumer,53.6,0
O00005,C0558,Retail,Riverside,SOUTH,125.58,D054,OnTime,16.01,1.0,4.38,23,South,Consumer,64.3,1
O00006,C0437,Retail,CENTRAL,East,151.44,,,,,,51,Airport,Consumer,50.7,0
O00007,C0001,Business,CENTRAL,Airport,76.12,D128,Delayed,9.07,1.0,3.93,26,North,SME,44.9,1
O00008,C0157,Parcel,Riverside,Riverside,35.06,D036,OnTime,14.08,0.0,5.0,50,Central,Consumer,67.9,1
O00009,C0141,Retail,NORTH,East,78.93,D146,OnTime,12.02,0.0,4.45,37,West,Consumer,29.6,0
O00010,C0171,Retail,South,north,34.55,D045,OnTime,15.58,1.0,4.23,47,South,Consumer,82.4,0
O00011,C0340,Parcel,WEST,Central,79.1,,,,,,43,East,Consumer,34.7,1
O00012,C0567,Business,East,Airport,135.67,D075,OnTime,13.39,0.0,4.12,74,East,Consumer,79.7,1
O00013,C0234,Retail,Airport,Central,302.7,D163,OnTime,20.12,2.0,3.74,71,North,Consumer,54.1,1
O00014,C0318,Passenger,Ctr,Ctr,90.96,D141,OnTime,8.82,0.0,4.7,48,West,Consumer,68.2,0
O00015,C0300,Business,SOUTH,East,145.58,D052,OnTime,9.3,1.0,3.94,37,Central,Consumer,65.2,0
O00016,C0022,Parcel,Central,Ctr,92.66,D008,OnTime,16.1,2.0,3.36,71,Riverside,Consumer,62.2,0
O00017,C0499,Parcel,AIRPORT,South,60.9,D108,OnTime,35.33,5.0,4.94,40,Central,Consumer,55.9,0
O00018,C0506,Passenger,NORTH,Riverside,121.11,D015,OnTime,17.27,0.0,5.0,19,Airport,Enterprise,56.3,0
